         88098901 function calls (85082861 primitive calls) in 93.174 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44388    0.029    0.000    0.103    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\moderngl\__init__.py:1750(clear)
   352595    0.029    0.000    0.029    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\targetconfig.py:38(default)
    42193    0.028    0.000    0.042    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\genesim_lab\Engine\player\camera.py:36(update_view_matrix)
    48418    0.028    0.000    0.041    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeinfer.py:899(__getitem__)
      774    0.028    0.000    0.028    0.000 {method 'texture' of 'mgl.Context' objects}
     3318    0.028    0.000    0.082    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2333(_signature_from_function)
    11187    0.028    0.000    0.090    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\context.py:286(find_matching_getattr_template)
    10014    0.027    0.000    0.084    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\interpreter.py:1839(store)
   219906    0.027    0.000    0.027    0.000 {built-in method builtins.iter}
     7688    0.027    0.000    0.027    0.000 {method 'buffer' of 'mgl.Context' objects}
    69589    0.027    0.000    0.450    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\base.py:1249(exit_fn)
   313054    0.027    0.000    0.027    0.000 {built-in method time.perf_counter}
   156435    0.027    0.000    0.027    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\event.py:148(is_end)
