         9884692 function calls (9347579 primitive calls) in 7.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1581    0.005    0.000    0.019    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:133(_descr)
     4636    0.005    0.000    0.010    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\byteflow.py:1595(append)
     3104    0.005    0.000    0.044    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\base.py:352(install_registry)
    72036    0.005    0.000    0.005    0.000 {method 'values' of 'dict' objects}
     2713    0.005    0.000    0.023    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:769(store)
21077/8496    0.005    0.000    0.006    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\datamodel\packer.py:144(rec)
     2520    0.005    0.000    0.210    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:1174(<listcomp>)
    14039    0.005    0.000    0.070    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\base.py:1243(enter_fn)
    63195    0.005    0.000    0.005    0.000 {method 'write' of '_io.StringIO' objects}
12064/11983    0.005    0.000    0.039    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\datamodel\manager.py:29(lookup)
    55614    0.005    0.000    0.005    0.000 C:\Users\Filippo Morbidelli\AppData\Local\Programs\Python\Python311\Lib\pprint.py:92(__init__)
      300    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    65321    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
      336    0.005    0.000    0.192    0.001 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\lowering.py:741(lower_binop)
    14147    0.005    0.000    0.006    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:383(__getattr__)
23397/20528    0.005    0.000    0.011    0.000 <frozen abc>:121(__subclasscheck__)
    11672    0.005    0.000    0.010    0.000 {built-in method builtins.all}
     2613    0.005    0.000    0.026    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\typeof.py:27(typeof)
       22    0.005    0.000    0.061    0.003 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\byteflow.py:80(run)
     3262    0.005    0.000    0.025    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\builder.py:756(load)
     4586    0.005    0.000    0.016    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\byteflow.py:139(_run_handle_exception)
    26084    0.004    0.000    0.006    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\ir.py:255(__hash__)
8608/8527    0.004    0.000    0.009    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\values.py:455(_get_reference)
      416    0.004    0.000    0.019    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\templates.py:189(fold_arguments)
     9380    0.004    0.000    0.017    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\functions.py:230(_unlit_non_poison)
     2728    0.004    0.000    0.017    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typeinfer.py:1092(add_type)
      944    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1299    0.004    0.000    0.013    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\llvmlite\ir\instructions.py:533(__init__)
     4882    0.004    0.000    0.017    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\types\abstract.py:49(_intern)
      994    0.004    0.000    0.013    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\typing\templates.py:880(make_overload_template)
      388    0.004    0.000    0.190    0.000 C:\Users\Filippo Morbidelli\PycharmProjects\Simulate_evo2023\venv\Lib\site-packages\numba\core\cpu.py:60(load_additional_registries)
